,_id,date,ppl
93,95,2018-11-02T20:30:00.000-0300,40.93987357279365
94,96,2018-11-18T16:55:00.000-0300,41.6599159536226
95,97,2018-11-30T10:06:00.000-0300,41.66001841055539
96,98,2018-02-24T17:57:00.000-0300,27.27
97,99,2018-12-12T07:39:00.000-0300,41.23994586727268
98,100,2018-12-17T20:34:00.000-0300,41.24011450196497
99,101,2018-12-31T05:07:00.000-0300,41.24010088272384
100,102,2019-01-12T20:01:00.000-0300,45.99006177813592
101,103,2019-01-13T13:40:00.000-0300,37.79030226700252
102,104,2019-01-13T16:35:00.000-0300,37.789954337899545
103,105,2019-01-16T17:03:00.000-0300,36.890030984114496
104,106,2019-01-17T18:44:00.000-0300,36.89012394255361
105,107,2019-01-19T08:56:00.000-0300,38.59475507174666
106,108,2019-01-21T11:09:00.000-0300,38.59
107,109,2019-01-21T15:17:00.000-0300,36.889964560463305
108,110,2019-01-22T21:10:00.000-0300,35.194225403372556
109,111,2019-01-25T10:50:00.000-0300,36.89012394255361
110,112,2019-01-25T14:50:00.000-0300,37.79017620678697
111,113,2019-01-25T20:17:00.000-0300,45.990026875627365
112,114,2019-02-02T11:37:00.000-0300,40.989889957026115
113,115,2019-02-15T21:01:00.000-0300,41.69009779951101
114,116,2019-03-02T13:54:00.000-0300,42.86000941362995
115,117,2019-03-14T14:25:00.000-0300,42.86001285760206
116,118,2019-03-24T13:20:00.000-0300,42.86007995431182
117,119,2019-04-04T19:24:00.000-0300,44.80990230578045
118,120,2019-04-23T20:17:00.000-0300,44.810096966230795
119,121,2019-05-07T22:29:00.000-0300,46.56000188093671
120,122,2019-05-18T13:15:00.000-0300,46.55992372833829
121,123,2019-06-01T13:30:00.000-0300,47.26003917727717
122,124,2019-06-18T23:56:00.000-0300,47.260010537407794
123,125,2019-07-02T12:51:00.000-0300,48.439876091241906
124,126,2019-07-09T16:21:00.000-0300,48.44003095176683
125,127,2019-08-06T12:17:00.000-0300,48.44004893964111
126,128,2019-07-22T19:09:00.000-0300,48.43994871064254
127,129,2019-08-21T08:53:00.000-0300,48.4400898652022
128,130,2019-09-01T18:02:00.000-0300,47.67040940628145
129,131,2019-09-14T01:15:00.000-0300,48.43996941116493
130,132,2019-09-29T17:18:00.000-0300,50.39009644450842
131,133,2019-10-12T09:33:00.000-0300,50.48987623634198
132,134,2019-10-23T21:00:00.000-0300,50.389970788704964
133,135,2019-11-05T14:28:00.000-0300,52.939957558357264
134,136,2019-11-13T21:27:00.000-0300,52.94019720834934
135,137,2019-11-30T16:21:00.000-0300,55.58999470619375
136,138,2019-12-07T12:47:00.000-0300,59.339931643406445
137,139,2019-12-22T18:45:00.000-0300,59.44407894736842
138,140,2020-01-03T11:34:00.000-0300,59.33991260166852
139,141,2019-12-22T18:47:00.000-0300,59.34
140,142,2020-01-10T23:53:00.000-0300,59.33544303797468
141,143,2020-01-15T23:37:00.000-0300,66.2400384985563
142,144,2020-01-22T22:26:00.000-0300,66.24001445144715
143,145,2020-02-05T16:56:00.000-0300,59.33992929508625
